session,SerialNumber,seq_nr,seq_id,Directory,DateTime_start,DateTime_end,duration_seconds,first_file,last_file,n_files,all_files,label,duplicate_label,label2
5,H2PWGN03060422,1,5000000,sessions/session_05/images,2020-07-29T11:09:44Z,2020-07-29T11:16:17Z,393,RCNX0001.JPG,RCNX0079.JPG,60,"RCNX0001.JPG,RCNX0002.JPG,RCNX0003.JPG,RCNX0005.JPG,RCNX0006.JPG,RCNX0007.JPG,RCNX0009.JPG,RCNX0010.JPG,RCNX0011.JPG,RCNX0013.JPG,RCNX0014.JPG,RCNX0015.JPG,RCNX0017.JPG,RCNX0018.JPG,RCNX0019.JPG,RCNX0021.JPG,RCNX0022.JPG,RCNX0023.JPG,RCNX0025.JPG,RCNX0026.JPG,RCNX0027.JPG,RCNX0029.JPG,RCNX0030.JPG,RCNX0031.JPG,RCNX0033.JPG,RCNX0034.JPG,RCNX0035.JPG,RCNX0037.JPG,RCNX0038.JPG,RCNX0039.JPG,RCNX0041.JPG,RCNX0042.JPG,RCNX0043.JPG,RCNX0045.JPG,RCNX0046.JPG,RCNX0047.JPG,RCNX0049.JPG,RCNX0050.JPG,RCNX0051.JPG,RCNX0053.JPG,RCNX0054.JPG,RCNX0055.JPG,RCNX0057.JPG,RCNX0058.JPG,RCNX0059.JPG,RCNX0061.JPG,RCNX0062.JPG,RCNX0063.JPG,RCNX0065.JPG,RCNX0066.JPG,RCNX0067.JPG,RCNX0069.JPG,RCNX0070.JPG,RCNX0071.JPG,RCNX0073.JPG,RCNX0074.JPG,RCNX0075.JPG,RCNX0077.JPG,RCNX0078.JPG,RCNX0079.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,2,5000001,sessions/session_05/images,2020-07-29T11:17:47Z,2020-07-29T11:18:12Z,25,RCNX0081.JPG,RCNX0087.JPG,6,"RCNX0081.JPG,RCNX0082.JPG,RCNX0083.JPG,RCNX0085.JPG,RCNX0086.JPG,RCNX0087.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,3,5000002,sessions/session_05/images,2020-07-29T14:41:30Z,2020-07-29T14:46:44Z,314,RCNX0089.JPG,RCNX0159.JPG,54,"RCNX0089.JPG,RCNX0090.JPG,RCNX0091.JPG,RCNX0093.JPG,RCNX0094.JPG,RCNX0095.JPG,RCNX0097.JPG,RCNX0098.JPG,RCNX0099.JPG,RCNX0101.JPG,RCNX0102.JPG,RCNX0103.JPG,RCNX0105.JPG,RCNX0106.JPG,RCNX0107.JPG,RCNX0109.JPG,RCNX0110.JPG,RCNX0111.JPG,RCNX0113.JPG,RCNX0114.JPG,RCNX0115.JPG,RCNX0117.JPG,RCNX0118.JPG,RCNX0119.JPG,RCNX0121.JPG,RCNX0122.JPG,RCNX0123.JPG,RCNX0125.JPG,RCNX0126.JPG,RCNX0127.JPG,RCNX0129.JPG,RCNX0130.JPG,RCNX0131.JPG,RCNX0133.JPG,RCNX0134.JPG,RCNX0135.JPG,RCNX0137.JPG,RCNX0138.JPG,RCNX0139.JPG,RCNX0141.JPG,RCNX0142.JPG,RCNX0143.JPG,RCNX0145.JPG,RCNX0146.JPG,RCNX0147.JPG,RCNX0149.JPG,RCNX0150.JPG,RCNX0151.JPG,RCNX0153.JPG,RCNX0154.JPG,RCNX0155.JPG,RCNX0157.JPG,RCNX0158.JPG,RCNX0159.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,4,5000003,sessions/session_05/images,2020-07-29T14:47:27Z,2020-07-29T14:47:30Z,3,RCNX0161.JPG,RCNX0163.JPG,3,"RCNX0161.JPG,RCNX0162.JPG,RCNX0163.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,5,5000004,sessions/session_05/images,2020-07-29T17:34:54Z,2020-07-29T17:36:06Z,72,RCNX0165.JPG,RCNX0187.JPG,18,"RCNX0165.JPG,RCNX0166.JPG,RCNX0167.JPG,RCNX0169.JPG,RCNX0170.JPG,RCNX0171.JPG,RCNX0173.JPG,RCNX0174.JPG,RCNX0175.JPG,RCNX0177.JPG,RCNX0178.JPG,RCNX0179.JPG,RCNX0181.JPG,RCNX0182.JPG,RCNX0183.JPG,RCNX0185.JPG,RCNX0186.JPG,RCNX0187.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,6,5000005,sessions/session_05/images,2020-07-29T17:49:52Z,2020-07-29T17:52:45Z,173,RCNX0189.JPG,RCNX0227.JPG,30,"RCNX0189.JPG,RCNX0190.JPG,RCNX0191.JPG,RCNX0193.JPG,RCNX0194.JPG,RCNX0195.JPG,RCNX0197.JPG,RCNX0198.JPG,RCNX0199.JPG,RCNX0201.JPG,RCNX0202.JPG,RCNX0203.JPG,RCNX0205.JPG,RCNX0206.JPG,RCNX0207.JPG,RCNX0209.JPG,RCNX0210.JPG,RCNX0211.JPG,RCNX0213.JPG,RCNX0214.JPG,RCNX0215.JPG,RCNX0217.JPG,RCNX0218.JPG,RCNX0219.JPG,RCNX0221.JPG,RCNX0222.JPG,RCNX0223.JPG,RCNX0225.JPG,RCNX0226.JPG,RCNX0227.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,7,5000006,sessions/session_05/images,2020-07-29T17:53:49Z,2020-07-29T17:54:11Z,22,RCNX0229.JPG,RCNX0235.JPG,6,"RCNX0229.JPG,RCNX0230.JPG,RCNX0231.JPG,RCNX0233.JPG,RCNX0234.JPG,RCNX0235.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,8,5000007,sessions/session_05/images,2020-07-29T17:54:45Z,2020-07-29T17:54:46Z,1,RCNX0237.JPG,RCNX0239.JPG,3,"RCNX0237.JPG,RCNX0238.JPG,RCNX0239.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,9,5000008,sessions/session_05/images,2020-07-29T17:55:22Z,2020-07-29T17:56:24Z,62,RCNX0241.JPG,RCNX0255.JPG,12,"RCNX0241.JPG,RCNX0242.JPG,RCNX0243.JPG,RCNX0245.JPG,RCNX0246.JPG,RCNX0247.JPG,RCNX0249.JPG,RCNX0250.JPG,RCNX0251.JPG,RCNX0253.JPG,RCNX0254.JPG,RCNX0255.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,10,5000009,sessions/session_05/images,2020-07-29T23:05:14Z,2020-07-29T23:06:31Z,77,RCNX0257.JPG,RCNX0275.JPG,15,"RCNX0257.JPG,RCNX0258.JPG,RCNX0259.JPG,RCNX0261.JPG,RCNX0262.JPG,RCNX0263.JPG,RCNX0265.JPG,RCNX0266.JPG,RCNX0267.JPG,RCNX0269.JPG,RCNX0270.JPG,RCNX0271.JPG,RCNX0273.JPG,RCNX0274.JPG,RCNX0275.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,11,5000010,sessions/session_05/images,2020-07-29T23:08:08Z,2020-07-29T23:09:03Z,55,RCNX0277.JPG,RCNX0287.JPG,9,"RCNX0277.JPG,RCNX0278.JPG,RCNX0279.JPG,RCNX0281.JPG,RCNX0282.JPG,RCNX0283.JPG,RCNX0285.JPG,RCNX0286.JPG,RCNX0287.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,12,5000011,sessions/session_05/images,2020-07-29T23:09:45Z,2020-07-29T23:10:39Z,54,RCNX0289.JPG,RCNX0303.JPG,12,"RCNX0289.JPG,RCNX0290.JPG,RCNX0291.JPG,RCNX0293.JPG,RCNX0294.JPG,RCNX0295.JPG,RCNX0297.JPG,RCNX0298.JPG,RCNX0299.JPG,RCNX0301.JPG,RCNX0302.JPG,RCNX0303.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,13,5000012,sessions/session_05/images,2020-07-29T23:13:20Z,2020-07-29T23:14:24Z,64,RCNX0305.JPG,RCNX0323.JPG,15,"RCNX0305.JPG,RCNX0306.JPG,RCNX0307.JPG,RCNX0309.JPG,RCNX0310.JPG,RCNX0311.JPG,RCNX0313.JPG,RCNX0314.JPG,RCNX0315.JPG,RCNX0317.JPG,RCNX0318.JPG,RCNX0319.JPG,RCNX0321.JPG,RCNX0322.JPG,RCNX0323.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,14,5000013,sessions/session_05/images,2020-07-30T04:26:24Z,2020-07-30T04:26:26Z,2,RCNX0325.JPG,RCNX0327.JPG,3,"RCNX0325.JPG,RCNX0326.JPG,RCNX0327.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,15,5000014,sessions/session_05/images,2020-07-30T04:27:04Z,2020-07-30T04:27:05Z,1,RCNX0329.JPG,RCNX0331.JPG,3,"RCNX0329.JPG,RCNX0330.JPG,RCNX0331.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,16,5000015,sessions/session_05/images,2020-07-30T04:50:32Z,2020-07-30T04:50:47Z,15,RCNX0333.JPG,RCNX0339.JPG,6,"RCNX0333.JPG,RCNX0334.JPG,RCNX0335.JPG,RCNX0337.JPG,RCNX0338.JPG,RCNX0339.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,17,5000016,sessions/session_05/images,2020-07-30T05:00:20Z,2020-07-30T05:01:53Z,93,RCNX0341.JPG,RCNX0359.JPG,15,"RCNX0341.JPG,RCNX0342.JPG,RCNX0343.JPG,RCNX0345.JPG,RCNX0346.JPG,RCNX0347.JPG,RCNX0349.JPG,RCNX0350.JPG,RCNX0351.JPG,RCNX0353.JPG,RCNX0354.JPG,RCNX0355.JPG,RCNX0357.JPG,RCNX0358.JPG,RCNX0359.JPG",mustela_erminea,,mustela_erminea
5,H2PWGN03060422,18,5000017,sessions/session_05/images,2020-07-30T05:03:26Z,2020-07-30T05:03:28Z,2,RCNX0361.JPG,RCNX0363.JPG,3,"RCNX0361.JPG,RCNX0362.JPG,RCNX0363.JPG",mustela_erminea,,mustela_erminea
